ts_iso,t_rel_s,board,valid,dist_m,raw_hex,dt_s,fps
2025-10-31 12:58:25,0.0000,0,1,349.400,fb 03 00 04 01 00 a6 0d b6,,
2025-10-31 12:58:26,0.7774,0,1,348.500,fb 03 00 04 01 00 9d 0d ad,0.7774,1.286
2025-10-31 12:58:27,1.6279,0,1,354.200,fb 03 00 04 01 00 d6 0d e6,0.8505,1.176
2025-10-31 12:58:27,2.3315,0,1,350.900,fb 03 00 04 01 00 b5 0d c5,0.7036,1.421
2025-10-31 12:58:28,3.1028,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.7713,1.296
2025-10-31 12:58:29,3.8655,0,1,348.400,fb 03 00 04 01 00 9c 0d ac,0.7627,1.311
2025-10-31 12:58:30,4.6100,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.7446,1.343
2025-10-31 12:58:30,5.3454,0,1,347.800,fb 03 00 04 01 00 96 0d a6,0.7354,1.360
2025-10-31 12:58:31,6.1571,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.8117,1.232
2025-10-31 12:58:32,6.8435,0,1,354.400,fb 03 00 04 01 00 d8 0d e8,0.6864,1.457
2025-10-31 12:58:32,7.5275,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.6841,1.462
2025-10-31 12:58:33,8.3632,0,1,348.800,fb 03 00 04 01 00 a0 0d b0,0.8356,1.197
2025-10-31 12:58:34,9.2115,0,1,350.400,fb 03 00 04 01 00 b0 0d c0,0.8484,1.179
2025-10-31 12:58:35,9.9011,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.6895,1.450
2025-10-31 12:58:36,10.6891,0,1,348.000,fb 03 00 04 01 00 98 0d a8,0.7881,1.269
2025-10-31 12:58:36,11.5831,0,1,353.700,fb 03 00 04 01 00 d1 0d e1,0.8939,1.119
2025-10-31 12:58:37,12.3077,0,1,349.000,fb 03 00 04 01 00 a2 0d b2,0.7246,1.380
2025-10-31 12:58:38,12.9792,0,1,352.500,fb 03 00 04 01 00 c5 0d d5,0.6715,1.489
2025-10-31 12:58:39,13.8010,0,1,351.500,fb 03 00 04 01 00 bb 0d cb,0.8218,1.217
2025-10-31 12:58:39,14.5617,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.7608,1.314
2025-10-31 12:58:40,15.3657,0,1,350.400,fb 03 00 04 01 00 b0 0d c0,0.8040,1.244
2025-10-31 12:58:41,16.0550,0,1,349.600,fb 03 00 04 01 00 a8 0d b8,0.6892,1.451
2025-10-31 12:58:42,16.8256,0,1,349.500,fb 03 00 04 01 00 a7 0d b7,0.7707,1.298
2025-10-31 12:58:43,17.6401,0,1,351.200,fb 03 00 04 01 00 b8 0d c8,0.8145,1.228
2025-10-31 12:58:43,18.5385,0,1,350.500,fb 03 00 04 01 00 b1 0d c1,0.8984,1.113
2025-10-31 12:58:44,19.2865,0,1,349.500,fb 03 00 04 01 00 a7 0d b7,0.7480,1.337
2025-10-31 12:58:45,20.0800,0,1,349.300,fb 03 00 04 01 00 a5 0d b5,0.7936,1.260
2025-10-31 12:58:46,20.9504,0,1,351.300,fb 03 00 04 01 00 b9 0d c9,0.8703,1.149
2025-10-31 12:58:47,21.7586,0,1,349.100,fb 03 00 04 01 00 a3 0d b3,0.8082,1.237
2025-10-31 12:58:48,22.6418,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.8831,1.132
2025-10-31 12:58:48,23.3420,0,1,353.100,fb 03 00 04 01 00 cb 0d db,0.7003,1.428
2025-10-31 12:58:49,24.0734,0,1,353.300,fb 03 00 04 01 00 cd 0d dd,0.7313,1.367
2025-10-31 12:58:50,24.9279,0,1,347.300,fb 03 00 04 01 00 91 0d a1,0.8545,1.170
2025-10-31 12:58:51,25.8298,0,1,352.500,fb 03 00 04 01 00 c5 0d d5,0.9018,1.109
2025-10-31 12:58:51,26.4978,0,1,344.500,fb 03 00 04 01 00 75 0d 85,0.6681,1.497
2025-10-31 12:58:52,27.1853,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.6875,1.455
2025-10-31 12:58:53,27.9202,0,1,349.100,fb 03 00 04 01 00 a3 0d b3,0.7348,1.361
2025-10-31 12:58:54,28.6913,0,1,354.800,fb 03 00 04 01 00 dc 0d ec,0.7712,1.297
2025-10-31 12:58:54,29.3916,0,1,348.700,fb 03 00 04 01 00 9f 0d af,0.7003,1.428
2025-10-31 12:58:55,30.0661,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.6745,1.483
2025-10-31 12:58:56,30.8570,0,1,345.800,fb 03 00 04 01 00 82 0d 92,0.7909,1.264
2025-10-31 12:58:57,31.5992,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.7422,1.347
2025-10-31 12:58:57,32.3772,0,1,351.600,fb 03 00 04 01 00 bc 0d cc,0.7781,1.285
2025-10-31 12:58:58,33.2403,0,1,352.900,fb 03 00 04 01 00 c9 0d d9,0.8631,1.159
2025-10-31 12:58:59,33.9220,0,1,352.300,fb 03 00 04 01 00 c3 0d d3,0.6816,1.467
2025-10-31 12:59:00,34.7898,0,1,344.700,fb 03 00 04 01 00 77 0d 87,0.8679,1.152
2025-10-31 12:59:01,35.6635,0,1,352.300,fb 03 00 04 01 00 c3 0d d3,0.8736,1.145
2025-10-31 12:59:01,36.3395,0,1,348.400,fb 03 00 04 01 00 9c 0d ac,0.6761,1.479
2025-10-31 12:59:02,37.0917,0,1,348.400,fb 03 00 04 01 00 9c 0d ac,0.7522,1.330
2025-10-31 12:59:03,37.8963,0,1,349.300,fb 03 00 04 01 00 a5 0d b5,0.8046,1.243
2025-10-31 12:59:04,38.6537,0,1,352.800,fb 03 00 04 01 00 c8 0d d8,0.7574,1.320
2025-10-31 12:59:04,39.4725,0,1,348.800,fb 03 00 04 01 00 a0 0d b0,0.8189,1.221
2025-10-31 12:59:05,40.2765,0,1,350.400,fb 03 00 04 01 00 b0 0d c0,0.8040,1.244
2025-10-31 12:59:06,41.0485,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.7720,1.295
2025-10-31 12:59:07,41.8109,0,1,349.100,fb 03 00 04 01 00 a3 0d b3,0.7624,1.312
2025-10-31 12:59:08,42.6082,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.7974,1.254
2025-10-31 12:59:08,43.4030,0,1,354.700,fb 03 00 04 01 00 db 0d eb,0.7947,1.258
2025-10-31 12:59:09,44.0877,0,1,352.300,fb 03 00 04 01 00 c3 0d d3,0.6847,1.461
2025-10-31 12:59:10,44.8128,0,1,345.900,fb 03 00 04 01 00 83 0d 93,0.7251,1.379
2025-10-31 12:59:10,45.5665,0,1,350.300,fb 03 00 04 01 00 af 0d bf,0.7537,1.327
2025-10-31 12:59:11,46.4219,0,1,353.500,fb 03 00 04 01 00 cf 0d df,0.8555,1.169
2025-10-31 12:59:12,47.1585,0,1,346.200,fb 03 00 04 01 00 86 0d 96,0.7365,1.358
2025-10-31 12:59:13,47.9947,0,1,349.700,fb 03 00 04 01 00 a9 0d b9,0.8363,1.196
2025-10-31 12:59:14,48.8865,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.8918,1.121
2025-10-31 12:59:15,49.6769,0,1,133.600,fb 03 00 04 01 00 38 05 40,0.7904,1.265
2025-10-31 12:59:15,50.4187,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.7418,1.348
2025-10-31 12:59:16,51.1522,0,1,132.500,fb 03 00 04 01 00 2d 05 35,0.7335,1.363
2025-10-31 12:59:17,51.8238,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.6716,1.489
2025-10-31 12:59:18,52.6026,0,1,135.200,fb 03 00 04 01 00 48 05 50,0.7788,1.284
2025-10-31 12:59:18,53.4719,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.8692,1.150
2025-10-31 12:59:19,54.1462,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.6743,1.483
2025-10-31 12:59:20,54.9777,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.8315,1.203
2025-10-31 12:59:21,55.8174,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.8398,1.191
2025-10-31 12:59:22,56.6469,0,1,355.600,fb 03 00 04 01 00 e4 0d f4,0.8295,1.206
2025-10-31 12:59:22,57.3694,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.7225,1.384
2025-10-31 12:59:23,58.0453,0,1,346.000,fb 03 00 04 01 00 84 0d 94,0.6759,1.480
2025-10-31 12:59:24,58.8654,0,1,349.300,fb 03 00 04 01 00 a5 0d b5,0.8202,1.219
2025-10-31 12:59:24,59.5416,0,1,352.600,fb 03 00 04 01 00 c6 0d d6,0.6762,1.479
2025-10-31 12:59:25,60.2282,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.6865,1.457
2025-10-31 12:59:26,61.0897,0,1,344.000,fb 03 00 04 01 00 70 0d 80,0.8616,1.161
2025-10-31 12:59:27,61.8463,0,1,345.600,fb 03 00 04 01 00 80 0d 90,0.7565,1.322
2025-10-31 12:59:27,62.5778,0,1,348.900,fb 03 00 04 01 00 a1 0d b1,0.7316,1.367
2025-10-31 12:59:28,63.4692,0,1,348.700,fb 03 00 04 01 00 9f 0d af,0.8914,1.122
2025-10-31 12:59:29,64.2810,0,1,352.400,fb 03 00 04 01 00 c4 0d d4,0.8118,1.232
2025-10-31 12:59:30,64.9523,0,1,348.200,fb 03 00 04 01 00 9a 0d aa,0.6713,1.490
2025-10-31 12:59:31,65.8482,0,1,350.600,fb 03 00 04 01 00 b2 0d c2,0.8958,1.116
2025-10-31 12:59:32,66.6110,0,1,348.700,fb 03 00 04 01 00 9f 0d af,0.7628,1.311
2025-10-31 12:59:32,67.4797,0,1,348.100,fb 03 00 04 01 00 99 0d a9,0.8687,1.151
2025-10-31 12:59:33,68.2587,0,1,349.400,fb 03 00 04 01 00 a6 0d b6,0.7790,1.284
2025-10-31 12:59:34,69.0188,0,1,352.100,fb 03 00 04 01 00 c1 0d d1,0.7601,1.316
2025-10-31 12:59:35,69.9236,0,1,351.100,fb 03 00 04 01 00 b7 0d c7,0.9048,1.105
2025-10-31 12:59:36,70.8218,0,1,351.700,fb 03 00 04 01 00 bd 0d cd,0.8982,1.113
2025-10-31 12:59:36,71.5675,0,1,349.400,fb 03 00 04 01 00 a6 0d b6,0.7457,1.341
2025-10-31 12:59:37,72.3454,0,1,347.800,fb 03 00 04 01 00 96 0d a6,0.7780,1.285
2025-10-31 12:59:38,73.0599,0,1,351.600,fb 03 00 04 01 00 bc 0d cc,0.7145,1.400
2025-10-31 12:59:39,73.8026,0,1,352.200,fb 03 00 04 01 00 c2 0d d2,0.7427,1.347
2025-10-31 12:59:39,74.5757,0,1,351.100,fb 03 00 04 01 00 b7 0d c7,0.7731,1.293
2025-10-31 12:59:40,75.2639,0,1,351.600,fb 03 00 04 01 00 bc 0d cc,0.6882,1.453
2025-10-31 12:59:41,76.0663,0,1,353.500,fb 03 00 04 01 00 cf 0d df,0.8024,1.246
2025-10-31 12:59:42,76.7873,0,1,351.700,fb 03 00 04 01 00 bd 0d cd,0.7210,1.387
2025-10-31 12:59:42,77.5090,0,1,348.900,fb 03 00 04 01 00 a1 0d b1,0.7217,1.386
2025-10-31 12:59:43,78.1903,0,1,352.200,fb 03 00 04 01 00 c2 0d d2,0.6813,1.468
2025-10-31 12:59:44,79.0120,0,1,349.000,fb 03 00 04 01 00 a2 0d b2,0.8217,1.217
2025-10-31 12:59:45,79.8285,0,1,348.400,fb 03 00 04 01 00 9c 0d ac,0.8165,1.225
2025-10-31 12:59:46,80.6676,0,1,351.200,fb 03 00 04 01 00 b8 0d c8,0.8391,1.192
2025-10-31 12:59:46,81.4293,0,1,351.400,fb 03 00 04 01 00 ba 0d ca,0.7617,1.313
2025-10-31 12:59:47,82.2296,0,1,350.800,fb 03 00 04 01 00 b4 0d c4,0.8003,1.250
2025-10-31 12:59:48,83.0942,0,1,350.100,fb 03 00 04 01 00 ad 0d bd,0.8646,1.157
2025-10-31 12:59:49,83.7923,0,1,352.100,fb 03 00 04 01 00 c1 0d d1,0.6981,1.432
2025-10-31 12:59:50,84.6286,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.8362,1.196
2025-10-31 12:59:50,85.4887,0,1,352.500,fb 03 00 04 01 00 c5 0d d5,0.8601,1.163
2025-10-31 12:59:51,86.2755,0,1,353.900,fb 03 00 04 01 00 d3 0d e3,0.7868,1.271
2025-10-31 12:59:52,86.9824,0,1,353.500,fb 03 00 04 01 00 cf 0d df,0.7069,1.415
2025-10-31 12:59:53,87.8645,0,1,350.400,fb 03 00 04 01 00 b0 0d c0,0.8821,1.134
2025-10-31 12:59:53,88.5686,0,1,348.800,fb 03 00 04 01 00 a0 0d b0,0.7040,1.420
2025-10-31 12:59:54,89.3736,0,1,348.400,fb 03 00 04 01 00 9c 0d ac,0.8050,1.242
2025-10-31 12:59:55,90.2311,0,1,355.800,fb 03 00 04 01 00 e6 0d f6,0.8575,1.166
2025-10-31 12:59:56,90.9262,0,1,352.400,fb 03 00 04 01 00 c4 0d d4,0.6950,1.439
2025-10-31 12:59:57,91.6195,0,1,344.200,fb 03 00 04 01 00 72 0d 82,0.6933,1.442
2025-10-31 12:59:57,92.3724,0,1,345.400,fb 03 00 04 01 00 7e 0d 8e,0.7530,1.328
2025-10-31 12:59:58,93.0517,0,1,349.000,fb 03 00 04 01 00 a2 0d b2,0.6793,1.472
2025-10-31 12:59:59,93.8391,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.7874,1.270
2025-10-31 12:59:59,94.5109,0,1,349.700,fb 03 00 04 01 00 a9 0d b9,0.6718,1.489
2025-10-31 13:00:00,95.3037,0,1,356.000,fb 03 00 04 01 00 e8 0d f8,0.7928,1.261
2025-10-31 13:00:01,96.0045,0,1,349.700,fb 03 00 04 01 00 a9 0d b9,0.7008,1.427
2025-10-31 13:00:02,96.8823,0,1,351.700,fb 03 00 04 01 00 bd 0d cd,0.8778,1.139
2025-10-31 13:00:03,97.6310,0,1,351.100,fb 03 00 04 01 00 b7 0d c7,0.7487,1.336
2025-10-31 13:00:03,98.3289,0,1,357.200,fb 03 00 04 01 00 f4 0d 04,0.6979,1.433
2025-10-31 13:00:04,99.2044,0,1,351.600,fb 03 00 04 01 00 bc 0d cc,0.8755,1.142
2025-10-31 13:00:05,99.8742,0,1,348.400,fb 03 00 04 01 00 9c 0d ac,0.6697,1.493
2025-10-31 13:00:06,100.6932,0,1,353.800,fb 03 00 04 01 00 d2 0d e2,0.8190,1.221
2025-10-31 13:00:06,101.3860,0,1,351.400,fb 03 00 04 01 00 ba 0d ca,0.6928,1.443
2025-10-31 13:00:07,102.1172,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.7313,1.367
2025-10-31 13:00:08,102.8439,0,1,354.400,fb 03 00 04 01 00 d8 0d e8,0.7267,1.376
2025-10-31 13:00:08,103.5268,0,1,346.700,fb 03 00 04 01 00 8b 0d 9b,0.6828,1.465
2025-10-31 13:00:09,104.2048,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.6780,1.475
2025-10-31 13:00:10,105.0484,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.8436,1.185
2025-10-31 13:00:11,105.7569,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.7085,1.411
2025-10-31 13:00:11,106.4514,0,0,0.000,fb 03 00 04 00 00 00 00 02,0.6945,1.440
2025-10-31 13:00:12,107.2661,0,1,86.100,fb 03 00 04 01 00 5d 03 63,0.8147,1.227
2025-10-31 13:00:13,108.0019,0,1,85.600,fb 03 00 04 01 00 58 03 5e,0.7357,1.359
2025-10-31 13:00:14,108.8326,0,1,85.700,fb 03 00 04 01 00 59 03 5f,0.8307,1.204
